ArticleCode;TrueDemandSegment;TrueProfile;Color;Category;Brand;Price;Demand01;Demand02;Demand03;Demand04;Demand05;Demand06;Demand07;Demand08;Demand09;Demand10;Demand11;Demand12;Demand13;Demand14;Demand15;Demand16;Demand17;Demand18;TotalDemand
39;4;2;Purple;Photography;Kayosis;4.22;57;33;28;40;36;17;23;26;23;16;23;18;15;13;16;4;9;8;405
40;5;2;Red;Kitchen;Supranu ;3.43;79;54;74;64;47;52;57;44;42;31;41;38;45;22;24;20;13;25;772
41;1;3;Black;Games;Octozzy ;70.84;2;2;1;2;2;1;2;1;2;2;1;1;2;2;2;2;2;2;31
42;2;3;Red;Games;Verer ;21.37;11;9;10;9;8;11;10;4;6;8;10;8;10;11;12;5;7;8;157
43;3;3;Green;Sound;Verer ;8.75;13;11;16;17;8;17;16;6;16;17;11;11;10;11;9;10;13;10;222
44;4;3;Purple;Telephone;Hyperive ;1.61;24;21;27;20;18;22;16;24;16;28;26;22;25;27;26;17;26;30;415
45;5;3;Green;Computers;Supranu ;6.44;32;33;28;38;27;25;19;32;20;33;44;26;32;26;27;24;27;26;519
46;1;1;Blue;Television;Animity ;25.33;2;2;4;4;3;4;6;4;5;5;9;8;8;9;10;7;4;9;103
47;2;1;Green;Sound;Outise ;12.15;5;3;5;4;3;6;5;8;9;10;15;12;10;19;10;16;16;19;175
48;3;1;Gray;Smart home;Outise ;10.13;9;7;7;9;6;13;8;7;14;8;17;14;15;19;15;17;31;26;242
49;4;1;Blue;Photography;Outise ;7.43;7;15;14;15;17;15;13;22;19;30;24;33;29;38;38;17;34;39;419
50;5;1;Green;Smart home;Octozzy ;4.68;12;14;14;9;20;17;31;14;22;22;44;29;45;23;48;49;52;33;498
51;1;2;Black;Tablets;Transible ;20.85;10;7;5;9;8;6;4;5;6;5;4;4;3;3;3;3;2;1;88
52;2;2;Green;Kitchen;Outise ;22.01;13;27;16;18;10;12;9;12;6;6;10;7;6;6;4;5;4;3;174
53;3;2;Gray;Television;Verer ;12.27;23;18;22;17;18;9;15;12;10;12;12;10;7;4;5;5;6;4;209
54;4;2;Blue;Photography;Kayosis;15.75;32;29;10;14;21;26;26;15;12;6;8;10;12;12;4;9;9;9;264
55;5;2;Red;Photography;Kayosis;5.05;57;71;70;61;58;41;25;36;38;25;23;26;9;15;21;7;19;13;615
56;1;3;Brown;Games;Hyperive ;130.19;2;2;1;2;2;1;1;2;2;1;2;2;1;2;1;1;2;0;27
57;2;3;White;Television;Hyperive ;5.33;8;10;11;6;9;7;8;9;6;7;11;9;6;3;7;9;8;6;140
58;3;3;Gray;Tablets;Dynotri ;12.02;15;16;7;12;10;12;12;14;11;10;12;13;13;14;20;6;7;13;217
59;4;3;Blue;Computers;Verer ;2.16;16;21;22;17;24;25;16;19;9;17;16;28;32;18;24;10;20;19;353
60;5;3;Red;Telephone;Mudeo ;4.6;40;40;45;48;39;38;29;46;37;41;49;32;36;37;49;57;45;33;741
61;1;1;Yellow;Smart home;Kayosis;116.78;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;1;26
62;2;1;White;Television;Supranu ;10.81;3;5;5;5;6;7;8;7;12;12;14;14;14;14;9;18;19;14;186
63;3;1;Orange;Kitchen;Mudeo ;11.08;4;6;7;8;12;9;14;11;14;9;16;21;22;26;24;21;27;30;281
64;4;1;Blue;Kitchen;Octozzy ;6.42;8;11;10;10;10;16;15;26;20;20;23;41;29;35;40;43;52;54;463
65;5;1;Red;Smart home;Outise ;7.29;13;15;5;22;16;12;11;30;29;20;31;36;48;25;41;46;58;65;523
66;1;2;Yellow;Tablets;Dynotri ;25;11;8;6;3;4;5;3;4;5;4;2;2;3;3;3;2;2;2;72
67;2;2;White;Tablets;Dynotri ;3.65;28;11;19;15;14;15;13;7;12;7;9;7;7;3;6;4;4;5;186
68;3;2;Orange;Accessories;Transible ;6.08;32;24;36;25;21;23;22;11;9;19;14;12;7;11;12;6;9;5;298
69;4;2;Purple;Accessories;Hyperive ;5.76;45;41;27;33;23;26;14;22;19;19;23;9;13;16;14;10;6;8;368
70;5;2;Brown;Tablets;Transible ;6.1;53;41;44;30;29;33;33;29;28;19;23;16;20;4;12;6;9;9;438
71;1;3;Black;Telephone;Outise ;43.73;2;4;3;2;2;3;4;3;2;3;2;1;4;3;3;2;3;2;48
72;2;3;Green;Sound;Transible ;14.7;10;12;13;7;10;11;10;9;9;11;7;8;11;13;7;14;15;10;187
73;3;3;Orange;Telephone;Dynotri ;19.43;12;11;13;13;10;16;9;7;11;12;13;11;13;15;15;11;14;13;219
74;4;3;Purple;Sound;Hyperive ;1.88;11;13;23;12;21;13;16;15;21;7;17;23;14;26;13;10;9;7;271
75;5;3;Red;Television;Verer ;4.01;29;26;30;30;31;27;21;20;20;20;20;23;15;26;33;28;16;27;442
76;1;1;Yellow;Photography;Animity ;47.2;2;1;3;2;2;3;3;3;5;4;5;3;6;8;7;7;6;7;77
77;2;1;White;Sound;Animity ;10.39;3;4;2;5;4;7;5;6;8;9;13;9;12;11;13;16;18;10;155
78;3;1;Yellow;Sound;Outise ;12.04;7;6;7;7;4;10;10;13;14;11;15;16;18;21;22;25;15;29;250
79;4;1;Blue;Photography;Animity ;8.64;7;9;9;6;16;10;11;14;14;19;8;24;16;13;19;22;32;38;287
80;5;1;Brown;Games;Octozzy ;3.82;15;11;24;25;21;36;20;38;33;38;50;25;48;63;69;79;124;71;790
81;1;2;Brown;Photography;Transible ;80.29;4;4;4;2;3;3;3;1;2;1;1;1;1;1;1;1;1;1;35
82;2;2;White;Accessories;Supranu ;15.54;17;21;16;10;14;13;7;6;9;5;7;9;7;8;4;4;4;5;166
83;3;2;Gray;Telephone;Transible ;6.65;36;22;20;20;21;16;13;11;12;9;9;9;10;7;6;5;5;5;236
84;4;2;Blue;Photography;Transible ;3.37;61;46;31;38;34;21;17;21;26;17;19;16;13;12;6;13;11;5;407
85;5;2;Red;Photography;Supranu ;3.26;70;47;34;36;29;37;40;31;29;34;22;23;21;16;14;17;9;14;523
86;1;3;Black;Computers;Mudeo ;25.55;4;5;6;6;5;7;5;5;9;5;5;5;4;2;6;5;5;6;95
87;2;3;Orange;Telephone;Verer ;9.19;9;12;10;9;11;9;10;10;13;8;8;5;9;8;10;9;10;10;170
88;3;3;Orange;Telephone;Verer ;10.28;12;11;10;25;16;13;17;15;10;7;19;21;21;10;18;12;10;7;254
89;4;3;Purple;Games;Outise ;2.4;22;19;23;23;20;27;26;25;19;13;14;18;25;14;18;26;23;22;377
90;5;3;Red;Computers;Dynotri ;1.17;21;35;38;35;41;53;31;53;34;41;34;29;28;39;25;33;12;27;609
91;1;1;Yellow;Telephone;Mudeo ;40.68;2;2;4;4;4;4;2;4;5;4;3;6;8;11;9;12;13;12;109
92;2;1;Green;Sound;Animity ;7.53;5;4;7;5;5;9;9;7;9;3;11;16;19;6;17;17;25;22;196
93;3;1;Gray;Television;Animity ;18.47;3;5;6;7;4;11;4;5;9;9;17;15;15;10;16;21;16;17;190
94;4;1;Purple;Kitchen;Octozzy ;7.22;4;8;9;12;10;15;8;17;14;17;22;22;16;27;23;29;22;36;311
95;5;1;Brown;Television;Animity ;2.39;14;14;16;14;11;12;21;20;17;22;23;49;37;51;30;39;21;56;467
96;1;2;White;Tablets;Transible ;61.31;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0;1;0;23
97;2;2;White;Accessories;Hyperive ;14.6;17;12;15;7;8;6;6;11;5;6;7;7;7;6;6;2;4;5;137
98;3;2;Gray;Photography;Octozzy ;4.24;19;18;35;22;23;12;16;8;16;11;13;14;8;9;4;6;6;5;245
99;4;2;Blue;Sound;Outise ;3.96;34;45;39;29;30;27;25;17;17;13;12;18;12;10;9;11;6;8;362
100;5;2;Blue;Photography;Transible ;3.02;126;47;111;99;56;64;48;65;19;47;46;38;39;31;11;15;18;27;907
101;1;3;Blue;Games;Dynotri ;43.17;9;6;7;8;6;5;3;5;9;7;7;8;8;4;6;7;6;6;117
102;2;3;Black;Games;Hyperive ;5.34;10;6;6;12;11;12;10;6;10;12;13;11;5;9;11;8;9;8;169
103;3;3;Black;Games;Hyperive ;12.63;15;14;15;13;12;16;12;11;15;11;13;10;14;26;6;13;12;18;246
104;4;3;Purple;Telephone;Verer ;3.88;22;16;15;28;7;24;20;18;22;21;16;20;25;15;14;12;13;11;319
105;5;3;Brown;Games;Transible ;6.05;31;38;32;26;28;33;24;37;23;19;36;37;19;34;23;36;29;23;528
106;1;1;Black;Sound;Animity ;13.69;1;2;3;4;5;4;3;5;4;8;4;6;8;7;7;7;12;12;102
107;2;1;White;Kitchen;Outise ;13.79;5;3;4;6;7;7;8;10;9;4;11;8;12;14;16;22;19;11;176
108;3;1;Orange;Tablets;Outise ;19;5;3;4;5;9;9;7;5;12;9;10;18;15;18;19;21;19;27;215
109;4;1;Purple;Smart home;Outise ;7.69;6;8;9;9;4;12;12;14;16;17;23;22;18;23;19;45;36;19;312
110;5;1;Orange;Games;Octozzy ;3.16;14;24;11;16;24;18;17;29;45;36;35;53;37;20;63;76;89;82;689
111;1;2;Black;Tablets;Hyperive ;34.26;10;7;2;5;6;6;6;4;4;4;3;2;1;2;2;2;2;1;69
112;2;2;White;Photography;Supranu ;16.2;18;20;22;18;13;13;18;11;11;8;8;8;4;6;5;4;5;4;196
113;3;2;Orange;Tablets;Supranu ;7.52;28;31;16;18;15;17;8;8;11;6;7;10;7;5;5;8;5;4;209
114;4;2;Purple;Games;Kayosis;4.89;36;32;17;36;24;32;24;19;20;18;14;12;13;11;11;9;9;10;347
115;5;2;Blue;Smart home;Transible ;3.53;23;58;53;63;41;50;49;45;27;12;15;20;24;27;16;11;19;10;563
116;1;3;Green;Computers;Hyperive ;29.29;2;2;3;2;1;3;2;3;2;1;3;2;3;2;3;3;2;2;41
117;2;3;Green;Sound;Hyperive ;14.24;12;7;11;11;7;6;9;7;8;8;9;7;7;8;6;11;10;10;154
118;3;3;Orange;Games;Hyperive ;12.96;17;12;12;17;17;17;7;13;18;15;19;18;16;15;14;18;12;10;267
119;4;3;Purple;Telephone;Dynotri ;6.46;19;20;28;25;25;29;21;27;17;23;16;31;20;18;18;20;21;20;398
120;5;3;Brown;Telephone;Dynotri ;2.73;39;50;54;36;59;28;35;40;39;79;60;35;39;35;42;41;55;57;823
121;1;1;Yellow;Kitchen;Outise ;21.13;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;3;3;4;32
122;2;1;Green;Television;Animity ;11.88;4;5;4;7;6;8;6;12;9;4;10;13;20;8;22;19;14;11;182
123;3;1;Gray;Sound;Outise ;4.73;4;6;9;4;5;8;9;11;11;15;22;23;21;22;23;26;27;27;273
124;4;1;Blue;Smart home;Octozzy ;7;7;8;9;15;17;9;17;16;25;28;30;16;26;40;42;34;46;65;450
125;5;1;Red;Kitchen;Octozzy ;4.46;13;7;12;14;17;16;15;19;24;18;36;34;33;37;37;43;51;62;488
126;1;2;Orange;Tablets;Supranu ;8.87;17;16;7;9;10;9;9;5;5;7;5;3;4;3;4;3;3;4;123
127;2;2;Yellow;Smart home;Transible ;9.64;15;28;17;23;14;10;15;11;6;8;10;7;9;8;9;5;5;6;206
128;3;2;Red;Accessories;Kayosis;14.51;16;18;17;19;19;13;11;13;14;8;9;8;7;10;6;7;5;3;203
129;4;2;Blue;Accessories;Kayosis;5.11;45;50;34;43;40;30;33;16;22;20;23;13;12;9;11;9;8;7;425
130;5;2;Brown;Accessories;Kayosis;5.95;63;70;72;77;69;59;51;24;46;29;37;24;28;16;23;16;19;18;741
131;1;3;Black;Computers;Dynotri ;25.2;5;5;2;5;4;5;7;3;5;4;5;5;4;3;3;3;4;5;77
132;2;3;Green;Games;Hyperive ;4.78;12;13;12;6;18;11;17;11;11;12;14;14;13;13;13;9;10;9;218
133;3;3;Orange;Games;Verer ;11.43;12;14;12;10;12;16;10;11;16;8;12;18;13;14;13;20;14;17;242
134;4;3;Purple;Computers;Hyperive ;5.95;20;30;17;16;18;25;13;21;15;29;25;16;18;24;22;22;26;21;378
135;5;3;Red;Games;Animity ;6.53;38;39;33;25;26;33;35;29;27;22;24;30;17;26;20;28;26;36;514
136;1;1;Black;Kitchen;Animity ;9.92;1;2;3;3;4;2;3;3;3;4;5;6;6;7;6;8;5;11;82
137;2;1;White;Television;Mudeo ;6.83;3;4;3;4;5;7;6;10;7;12;4;5;14;18;20;15;21;22;180
138;3;1;Purple;Sound;Outise ;9.09;7;10;9;7;3;13;10;15;14;10;16;10;24;33;19;27;34;18;279
139;4;1;Blue;Kitchen;Transible ;6.81;9;4;9;13;14;18;12;13;14;11;18;21;29;34;22;30;31;45;347
140;5;1;Brown;Sound;Mudeo ;1.83;12;17;22;16;19;28;17;10;28;31;30;34;23;65;43;61;34;48;538
141;1;2;Black;Computers;Kayosis;28.62;7;8;7;6;6;6;6;4;5;2;3;2;3;3;2;2;1;1;74
142;2;2;White;Accessories;Transible ;6.02;27;17;18;23;10;21;12;14;9;6;8;6;7;5;6;5;5;3;202
143;3;2;Orange;Accessories;Transible ;6.88;23;20;22;15;19;20;12;11;14;11;11;10;6;5;7;6;6;3;221
144;4;2;Blue;Tablets;Octozzy ;4.06;49;53;37;15;46;35;28;35;22;36;27;20;14;16;16;15;17;9;490
145;5;2;Red;Computers;Kayosis;4.28;67;33;48;36;33;29;31;32;31;30;29;9;22;13;15;11;8;11;488
146;1;3;Purple;Tablets;Verer ;22.99;3;2;2;2;3;3;3;4;4;2;3;3;3;5;3;3;2;2;52
147;2;3;Green;Telephone;Hyperive ;11.14;8;8;4;4;11;10;8;10;8;4;9;13;11;10;7;10;11;8;154
148;3;3;Orange;Computers;Outise ;2.68;21;13;14;15;13;13;20;18;17;9;16;18;15;21;20;19;11;12;285
149;4;3;Purple;Television;Hyperive ;6.59;15;17;24;25;18;23;21;26;33;12;21;27;18;19;12;10;30;25;376
150;5;3;Brown;Smart home;Transible ;2.9;26;34;38;29;31;21;19;25;33;29;27;37;36;30;25;34;22;34;530
151;1;1;Orange;Smart home;Animity ;23.93;2;1;2;2;2;2;2;3;4;4;4;6;4;5;3;5;7;5;63
152;2;1;Green;Sound;Verer ;20.72;1;2;3;4;5;5;5;4;7;6;8;5;10;7;10;14;5;17;118
153;3;1;Gray;Sound;Octozzy ;4.65;4;9;7;9;7;2;11;8;8;14;14;16;10;21;19;16;27;27;229
154;4;1;Purple;Computers;Outise ;2.94;10;12;13;13;15;17;9;20;18;23;18;33;24;39;35;28;65;50;442
155;5;1;Green;Television;Animity ;1.61;22;15;19;23;19;31;18;23;37;52;42;62;40;42;41;23;110;107;726
156;1;2;Yellow;Sound;Kayosis;3.69;4;3;4;4;4;3;4;2;1;3;2;3;3;1;1;1;1;1;45
157;2;2;Green;Accessories;Supranu ;10.69;23;19;22;8;20;16;13;16;13;6;6;13;3;5;6;7;5;3;204
158;3;2;Gray;Photography;Hyperive ;5.08;33;17;39;21;22;26;18;17;14;16;12;16;4;11;7;8;7;6;294
159;4;2;Blue;Accessories;Supranu ;3.62;23;28;33;35;31;19;18;17;18;18;14;18;10;16;12;12;9;4;335
160;5;2;Red;Photography;Transible ;3.17;83;76;102;76;42;74;69;42;37;52;33;45;30;26;31;24;28;22;892
161;1;3;White;Computers;Hyperive ;7.19;6;7;5;6;7;6;5;5;7;5;5;6;6;5;4;5;6;6;102
162;2;3;Gray;Computers;Hyperive ;10.53;8;8;12;12;8;14;6;9;6;10;12;11;8;5;7;10;13;10;169
163;3;3;Gray;Telephone;Verer ;6.49;11;8;10;15;14;14;12;13;17;16;10;18;10;15;17;13;17;16;246
164;4;3;Purple;Games;Hyperive ;3.21;26;20;25;23;15;17;18;19;15;21;21;15;16;19;27;12;22;20;351
165;5;3;Red;Accessories;Hyperive ;3.01;52;41;46;53;29;41;47;51;59;54;42;56;25;35;34;32;71;34;802
166;1;1;Yellow;Kitchen;Animity ;14.14;3;2;2;4;3;3;5;5;5;8;5;7;11;5;10;8;12;12;110
167;2;1;Green;Television;Octozzy ;20.42;3;4;6;5;5;6;7;9;8;9;7;8;10;10;13;21;16;14;161
168;3;1;Orange;Television;Octozzy ;12.64;7;9;6;7;5;3;4;12;15;18;13;20;20;28;18;27;22;28;262
169;4;1;Purple;Photography;Transible ;3.12;7;7;8;15;13;18;15;24;19;20;19;33;26;29;33;41;38;58;423
170;5;1;Brown;Television;Octozzy ;4.68;8;15;15;17;15;16;16;14;25;21;47;27;34;54;40;55;68;54;541
171;1;2;Yellow;Tablets;Transible ;16.35;9;6;8;9;4;4;4;7;5;5;4;4;4;2;2;3;2;3;85
172;2;2;White;Games;Kayosis;19.92;12;13;9;11;11;8;8;5;4;5;3;4;5;4;4;2;4;2;114
173;3;2;Gray;Photography;Transible ;8.86;17;23;15;23;17;19;13;15;10;10;10;10;9;5;5;9;7;6;223
174;4;2;Blue;Tablets;Supranu ;1.16;64;29;22;36;30;29;29;28;17;15;20;15;10;11;8;6;5;11;385
175;5;2;Brown;Tablets;Transible ;5.39;63;49;44;50;54;47;35;26;27;31;25;19;25;15;26;26;22;14;598
176;1;3;Black;Games;Hyperive ;17.99;3;4;3;4;3;3;1;2;4;3;3;3;3;3;3;3;2;2;52
177;2;3;White;Computers;Kayosis;14.83;12;15;11;11;8;11;15;10;11;11;8;12;10;13;14;14;10;13;209
178;3;3;Gray;Games;Dynotri ;10.78;21;11;13;19;4;16;13;15;11;10;10;10;19;17;10;23;19;21;262
179;4;3;Purple;Computers;Outise ;3.76;16;13;23;20;20;17;13;16;17;13;20;25;16;21;15;23;20;15;323
180;5;3;Green;Telephone;Kayosis;2.85;45;40;47;34;38;31;22;34;19;42;41;50;21;52;31;39;24;37;647
181;1;1;Yellow;Sound;Verer ;83.44;0;0;0;1;1;0;1;1;1;1;1;1;2;1;2;2;2;2;19
182;2;1;White;Smart home;Outise ;14.49;5;4;3;6;7;10;5;7;7;13;13;16;13;18;16;17;16;28;204
183;3;1;Orange;Smart home;Octozzy ;2.76;6;4;6;7;6;4;9;6;8;12;14;14;8;15;22;19;12;26;198
184;4;1;Purple;Television;Octozzy ;8.01;7;9;9;7;10;11;16;13;14;11;29;8;27;34;37;46;30;35;353
185;5;1;Gray;Kitchen;Octozzy ;3.28;28;18;29;29;28;37;23;35;47;34;53;53;79;60;92;114;124;127;1010
186;1;2;Yellow;Tablets;Dynotri ;6.87;7;6;11;8;7;4;5;4;4;5;3;3;3;2;2;2;2;1;79
187;2;2;White;Television;Kayosis;14.92;16;16;15;15;13;9;10;8;11;9;8;5;5;7;4;3;4;3;161
188;3;2;Gray;Tablets;Supranu ;7.12;40;41;11;24;20;15;7;15;8;16;12;11;9;10;6;8;4;7;264
189;4;2;White;Tablets;Kayosis;3.3;44;49;50;35;35;34;26;23;24;16;15;12;13;18;15;5;5;9;428
190;5;2;Brown;Photography;Outise ;3.71;61;36;70;42;29;51;44;31;34;32;14;15;17;22;18;12;15;12;555
191;1;3;Black;Telephone;Hyperive ;15.91;7;6;9;6;7;7;4;9;7;8;5;6;7;6;4;7;8;7;120
192;2;3;Black;Telephone;Kayosis;2.95;12;6;8;7;10;7;11;8;9;10;6;8;9;7;8;10;7;11;154
193;3;3;Gray;Telephone;Animity ;7.35;23;14;15;13;6;14;16;19;20;19;22;15;21;18;21;9;17;15;297
194;4;3;Purple;Photography;Dynotri ;5.72;19;19;19;23;20;24;17;23;13;19;22;17;15;11;23;23;23;21;351
195;5;3;Brown;Games;Hyperive ;5.88;45;39;24;24;29;36;31;19;26;28;32;37;19;21;23;27;38;28;526
196;1;1;Yellow;Games;Mudeo ;60.23;1;2;2;2;2;3;2;3;4;4;4;5;5;6;6;6;9;5;71
197;2;1;White;Smart home;Animity ;15.25;3;3;8;5;7;8;11;5;14;12;15;16;15;15;20;18;12;30;217
198;3;1;Gray;Smart home;Hyperive ;5.2;4;7;7;7;6;7;8;14;14;6;15;20;24;21;15;24;26;30;255
199;4;1;Black;Television;Animity ;6.46;7;6;7;7;14;17;10;6;19;19;18;17;24;26;40;19;35;35;326
200;5;1;Red;Kitchen;Mudeo ;2.84;18;9;18;16;26;17;20;28;44;47;56;56;44;71;49;82;74;61;736
201;1;2;Yellow;Photography;Kayosis;16.28;10;8;12;9;6;6;3;6;5;4;4;5;5;3;4;3;3;3;99
202;2;2;White;Photography;Mudeo ;11.94;12;10;14;14;12;7;10;7;6;7;8;7;4;3;3;3;2;2;131
203;3;2;Orange;Sound;Kayosis;9.66;37;33;14;14;15;8;18;8;14;9;14;12;6;7;6;7;7;2;231
204;4;2;Blue;Accessories;Kayosis;4.29;55;47;38;17;28;16;24;20;22;18;12;12;15;8;13;13;9;8;375
205;5;2;Red;Photography;Kayosis;3.75;79;53;65;53;56;42;18;44;36;33;35;12;16;24;19;20;12;17;634
206;1;3;Black;Telephone;Verer ;23.64;7;7;5;5;7;3;4;5;6;10;5;6;4;7;3;6;5;6;101
207;2;3;Green;Games;Dynotri ;9.92;8;9;10;9;10;11;6;11;16;5;10;8;14;10;9;11;14;10;181
208;3;3;Orange;Computers;Supranu ;14.78;19;20;20;12;28;23;15;21;20;22;16;24;19;14;12;14;9;8;316
209;4;3;Blue;Computers;Octozzy ;4.46;20;22;21;18;17;15;12;18;14;20;15;15;27;17;16;13;23;17;320
210;5;3;Brown;Smart home;Verer ;3.29;35;34;28;30;24;28;19;29;19;27;24;15;28;27;35;32;22;14;470
211;1;1;Black;Sound;Animity ;16.83;2;2;2;4;3;5;4;6;4;4;8;6;9;7;9;14;12;9;110
212;2;1;White;Smart home;Supranu ;11.03;6;3;2;6;6;4;7;6;8;13;7;12;17;15;13;25;24;15;189
213;3;1;Black;Sound;Octozzy ;5.83;6;3;8;10;6;8;7;15;11;16;14;16;19;25;28;10;28;27;257
214;4;1;Purple;Smart home;Outise ;4.25;9;6;10;9;12;15;15;19;21;23;27;21;21;25;22;30;18;24;327
215;5;1;Red;Smart home;Animity ;5.73;9;13;16;22;17;17;24;31;16;28;18;26;43;46;23;49;41;66;505
216;1;2;Black;Accessories;Hyperive ;75.58;4;3;4;4;2;3;3;1;2;3;2;2;2;2;1;1;1;1;41
217;2;2;White;Photography;Supranu ;18.52;18;12;13;10;12;11;14;11;8;7;4;7;8;6;4;4;3;3;155
218;3;2;Gray;Accessories;Transible ;5.34;31;18;27;25;19;23;12;11;6;13;14;10;7;8;8;5;6;6;249
219;4;2;Purple;Accessories;Kayosis;7.54;33;47;32;25;29;22;17;24;16;23;12;18;14;8;9;10;5;13;357
220;5;2;Brown;Tablets;Kayosis;5.06;67;30;43;44;44;53;49;29;37;36;32;33;16;13;18;11;15;16;586
221;1;3;Yellow;Computers;Dynotri ;18.35;4;4;5;3;3;5;3;5;4;4;4;3;3;2;4;5;2;4;67
222;2;3;Green;Telephone;Verer ;25.35;5;10;7;7;10;8;7;9;7;10;8;9;6;8;8;10;6;6;141
